"filename", "language", "JSON", "YAML", "Vue", "TypeScript", "comment", "blank", "total"
"e:\hc\外包\employee-Profiling\package.json", "JSON", 2, 0, 0, 0, 0, 0, 2
"e:\hc\外包\employee-Profiling\pnpm-lock.yaml", "YAML", 0, -2592, 0, 0, 0, 3, -2589
"e:\hc\外包\employee-Profiling\src\api\api.ts", "TypeScript", 0, 0, 0, 3, 1, 0, 4
"e:\hc\外包\employee-Profiling\src\router\index.ts", "TypeScript", 0, 0, 0, 10, 1, 1, 12
"e:\hc\外包\employee-Profiling\src\stores\employee.ts", "TypeScript", 0, 0, 0, 34, 2, 4, 40
"e:\hc\外包\employee-Profiling\src\views\EmployeePortrait\EmployeePortrait.vue", "Vue", 0, 0, 13, 0, 0, -1, 12
"e:\hc\外包\employee-Profiling\src\views\EmployeePortrait\components\EmployeeInfo.vue", "Vue", 0, 0, 21, 0, 0, 7, 28
"e:\hc\外包\employee-Profiling\src\views\Information\components\InforFunction.vue", "Vue", 0, 0, 23, 0, 0, 6, 29
"e:\hc\外包\employee-Profiling\src\views\Information\components\InforTable.vue", "Vue", 0, 0, 2, 0, 0, 0, 2
"e:\hc\外包\employee-Profiling\src\views\OverallPortrait\components\OverallSelect.vue", "Vue", 0, 0, 14, 0, 0, 2, 16
"e:\hc\外包\employee-Profiling\src\views\Performance\components\PerforFunction.vue", "Vue", 0, 0, 98, 0, 0, 3, 101
"Total", "-", 2, -2592, 171, 47, 4, 25, -2343